code_indicateur;libelle_indicateur;description_indicateur;type_donnees_indicateur;granularite_indicateur
BM;commune_bib;Commune de la bibliothèque;texte;annuel
Type rapport;type_rapport;Type de rapport : abrégé / basique / patrimoine;texte;annuel
Taux de complétude;etat_avancement;Etat d’avancement du remplissage du rapport;numérique;annuel
Statut;etat_validation;Etat de validation du rapport;texte;annuel
Typologie;typologie;Typologie des bibliothèques, après 2023;texte;annuel
Typologie2C;typologie_2c;Typologie des bibliothèques, avant 2023;texte;annuel
Date dernière modification;derniere_modification;Date de dernière modification du rapport;date;annuel
Année des données;annee_donnees;Année des données;date;annuel
nom_uc;nom_uc;Nom de l’unité de coopération;texte;annuel
referent;referent;Référent de l’enquête annuelle;texte;annuel
A116;site_internet;Statut site;texte;annuel
A121;site_internet_accessible;La bibliothèque a-t-elle déposé une attestation de conformité de son site web aux exigences du Référentiel général d'accessibilité pour les administrations (RGAA) ?;oui/non;annuel
A200;Population_commune;Population de la commune hors EPCI;numérique;annuel
A203;Population_commune_EPCI;Population de la commune dans EPCI;numérique;annuel
C101;amplitude_horaire;Nombre d'heures d'ouverture hebdomadaires tous publics;numérique;annuel
C102;nb_de_jours_ouverture_annuels;Nombre de jours d'ouverture annuels;numérique;annuel
C103;nombre_de_places;Nombre de places assises disponibles;numérique;annuel
C105;nb_postes_informatiques_publics;Nombre de postes informatiques publics;numérique;annuel
C107;nb_de_postes_informatiques_pro;Nombre de postes informatiques professionnels;numérique;annuel
C110;nb_imprimantes_en_acces_public;Nombre d'imprimantes en accès public;numérique;annuel
C112;nb_de_bibliobus;Nombre de bibliobus;numérique;annuel
C115;nb_de_jours_douverture_hebdos;Nombre de jours d’ouverture hebdomadaires;numérique;annuel
C116;ouverture_le_dimanche;La bibliothèque est-elle ouverte le dimanche ?;oui/non;annuel
C117;tablettes_mises_a_la_dispositi;Tablettes mises à la disposition du public;numérique;annuel
C118;liseuses_mises_a_la_dispositio;Liseuses mises à la disposition du public;numérique;annuel
C119;bornes_decoute;Bornes d’écoute;numérique;annuel
C120;connexion_wi_fi;Accès wifi;oui/non;annuel
C121;consoles_de_jeux_video;Consoles de jeux vidéo;numérique;annuel
C201;le_catalogue_de_la_bib_est_il;Le catalogue de la bibliothèque est-il informatisé ?;oui/non;annuel
C202;nb_total_de_notices_au_catalog;Nombre total de notices au catalogue;numérique;annuel
C206;nom_et_version_du_systeme_de_g;Nom et version du système de gestion de la bibliothèque;texte;annuel
C301;surface;Surface utile nette totale en m2;numérique;annuel
C309;votre_batiment_est_il_accessib;Votre bâtiment est-il accessible au sens de la loi du 11 février 2005 ?;oui/non;annuel
D101;impr_adultes_livres_impr_um_fo;Imprimés – Adultes – Livres imprimés – UM – Fonds (hors desserte BDP);numérique;annuel
D102;impr_adultes_livres_impr_um_ac;Imprimés – Adultes – Livres imprimés – UM – Acquisitions;numérique;annuel
D103;impr_adultes_livres_impr_um_el;Imprimés – Adultes – Livres imprimés – UM – Eliminations;numérique;annuel
D116;impr_enfants_livres_impr_um_fo;Imprimés – Enfants – Livres imprimés – UM – Fonds (hors desserte BDP);numérique;annuel
D117;impr_enfants_livres_impr_um_ac;Imprimés – Enfants – Livres imprimés – UM – Acquisitions;numérique;annuel
D118;impr_enfants_livres_impr_um_el;Imprimés – Enfants – Livres imprimés – UM – Eliminations;numérique;annuel
D128;nombre_de_livres;Imprimés – Total – Livres imprimés – UM – Fonds (hors desserte BDP);numérique;annuel
D129;impr_total_livres_impr_um_acqs;Imprimés – Total – Livres imprimés – UM – Acquisitions;numérique;annuel
